date,close,open,high,low,diff
12-15-15,181.81,183.2,183.65,181.52,-0.85%
12-14-15,183.36,183.75,184.34,183.04,-0.33%
12-11-15,183.97,182.95,184.67,182.39,0.45%
12-10-15,183.14,183.69,183.91,182.3,-0.40%
12-09-15,183.88,183.77,184.46,182.96,-0.04%
12-08-15,183.95,183.41,184.68,182.67,0.21%
12-07-15,183.57,181.66,183.74,181.61,0.98%
12-04-15,181.79,180.22,182.52,180.19,0.78%
12-03-15,180.38,181.6,183.03,179.91,-0.75%
12-02-15,181.75,180.45,182.46,180.19,0.63%
12-01-15,180.62,181.24,181.72,180.39,-0.43%
11-30-15,181.4,180.72,181.62,180.45,0.28%
11-27-15,180.9,179.63,180.99,179.5,0.61%
11-26-15,179.81,178.89,180.21,178.53,0.40%
11-25-15,179.09,179.26,179.77,178.57,-0.21%
11-24-15,179.46,181.21,181.62,179.22,-1.06%
11-23-15,181.38,180.63,181.86,180.6,0.30%
11-20-15,180.83,180.91,181.94,180.04,-0.12%
11-19-15,181.05,182.48,182.95,180.86,-0.89%
11-18-15,182.67,183.17,184.21,182.47,-0.39%
11-17-15,183.39,183.39,183.94,182.82,-0.10%
11-16-15,183.58,183.44,184.48,183.38,-0.02%
11-13-15,183.62,181.85,183.82,181.64,0.88%
11-12-15,182.01,181.27,182.61,180.66,0.32%
11-11-15,181.43,181.97,182.18,181.09,-0.41%
11-10-15,182.17,181.97,182.77,181.57,0.02%
11-09-15,182.13,181.42,182.75,180.76,0.37%
11-06-15,181.45,179.15,181.94,178.87,1.19%
11-05-15,179.31,179.01,180.13,178.81,0.07%
11-04-15,179.18,178.16,179.78,177.85,0.48%
11-03-15,178.33,179.47,179.71,178,-0.72%
11-02-15,179.63,180.38,180.83,179.06,-0.55%
10-30-15,180.62,179.48,180.88,178.75,0.52%
10-29-15,179.68,180.07,180.66,179.19,-0.26%
10-28-15,180.14,178.64,180.75,177.33,0.73%
10-27-15,178.83,177.61,179.04,177.52,0.57%
10-26-15,177.81,178.88,179.45,177.42,-0.63%
10-23-15,178.93,177.62,179.24,176.68,0.65%
10-22-15,177.78,179.38,179.88,177.51,-0.99%
10-21-15,179.56,178.06,179.86,177.61,0.75%
10-20-15,178.23,177.81,178.61,177.02,0.13%
10-19-15,178,177.99,178.43,175.8,-0.06%
10-16-15,178.11,176.81,178.41,176.74,0.64%
10-15-15,176.97,178.92,179.55,176.51,-1.20%
10-14-15,179.12,181.13,182.12,178.69,-1.24%
10-13-15,181.37,180.74,181.77,180.68,0.23%
10-12-15,180.95,180.74,181.58,180.13,0.01%
10-09-15,180.94,181.28,181.66,179.51,-0.30%
10-08-15,181.48,182.29,183.13,181.15,-0.46%
10-07-15,182.31,182.59,183.91,181.01,-0.24%
10-06-15,182.75,182.54,184.08,182.45,0.05%
10-05-15,182.66,184.36,184.96,182.22,-1.03%
10-02-15,184.56,185.31,186.54,184.32,-0.48%
10-01-15,185.45,186.25,186.51,184.7,-0.54%
09-30-15,186.45,187.67,188.19,185.55,-0.80%
09-29-15,187.95,187.58,188.52,187.42,0.08%
09-28-15,187.8,187.07,187.95,186.92,0.33%
09-25-15,187.18,186.47,188.06,186.18,0.31%
09-24-15,186.6,187.04,188.13,186.08,-0.32%
09-23-15,187.19,185.76,187.36,185.44,0.67%
09-22-15,185.94,184.83,186.44,184.11,0.49%
09-21-15,185.03,184.2,185.47,183.75,0.39%
09-18-15,184.32,183.01,184.4,182.19,0.56%
09-17-15,183.3,183.47,184.31,181.77,-0.21%
09-16-15,183.68,184.9,185.67,183.45,-0.77%
09-15-15,185.11,185.55,186.52,184.7,-0.34%
09-14-15,185.75,185.27,186.04,184.52,0.12%
09-11-15,185.52,185.33,186.18,185.19,0.01%
09-10-15,185.5,186.54,188.08,185.11,-0.71%
09-09-15,186.82,187.47,187.87,185.75,-0.46%
09-08-15,187.68,188.89,190.01,187.12,-0.72%
09-07-15,189.04,188.84,189.71,188.03,0.02%
09-04-15,189.01,187.13,189.08,186.61,0.86%
09-03-15,187.39,186.07,187.82,185.9,0.59%
09-02-15,186.3,185.28,186.54,184.56,0.48%
09-01-15,185.41,185.38,185.7,183.56,-0.05%
08-31-15,185.5,184.61,185.89,184.4,0.44%
08-28-15,184.69,183.14,185.5,183.06,0.75%
08-27-15,183.31,184.34,185.52,182.66,-0.68%
08-26-15,184.56,185.51,186.34,184.29,-0.62%
08-25-15,185.71,185.76,187.18,183.06,-0.13%
08-24-15,185.96,186.96,188.68,185.12,-0.65%
08-21-15,187.18,185.27,187.26,185.17,0.93%
08-20-15,185.46,184.98,186.72,184.29,0.17%
08-19-15,185.14,185.27,185.94,184.53,-0.19%
08-18-15,185.5,184.85,185.78,184.4,0.24%
08-17-15,185.05,184.36,185.55,184.19,0.30%
08-14-15,184.5,184.05,185.22,183.63,0.17%
08-13-15,184.18,183.55,184.88,182.05,0.23%
08-12-15,183.75,186.22,188.75,183.25,-1.44%
08-11-15,186.44,186.51,188.75,185.06,-0.13%
08-10-15,186.68,187.38,188.36,186.44,-0.47%
