date,close,open,high,low,diff
10-03-13,1731.92,1742.17,1746.14,1729.88,-0.65%
10-02-13,1743.17,1737.4,1746.28,1735.53,0.27%
10-01-13,1738.54,1737.48,1747.69,1736.81,-0.04%
09-30-13,1739.24,1731.47,1743.26,1730.18,0.27%
09-27-13,1734.61,1724.62,1735.68,1722.81,0.53%
09-26-13,1725.45,1730.67,1732.03,1720,-0.36%
09-25-13,1731.61,1719.28,1732.58,1717.78,0.67%
09-24-13,1720.01,1722.64,1727.26,1713.85,-0.20%
09-23-13,1723.53,1724.21,1728.53,1719.76,0.03%
09-20-13,1722.99,1716.73,1725.37,1712.23,0.31%
09-19-13,1717.63,1745.81,1747.81,1715.55,-1.67%
09-18-13,1746.76,1720.73,1748.7,1718.98,1.45%
09-17-13,1721.77,1718.68,1728.03,1718.36,0.13%
09-16-13,1719.62,1723.4,1732.8,1718.47,-0.29%
09-13-13,1724.55,1711.21,1725.74,1710.14,0.72%
09-12-13,1712.14,1717.46,1719.47,1709.63,-0.35%
09-11-13,1718.16,1707.69,1719.57,1703.92,0.52%
09-10-13,1709.35,1705.73,1710.55,1697.1,0.20%
09-09-13,1705.88,1707.08,1710.12,1699.35,-0.11%
09-06-13,1707.68,1710.64,1713.49,1699.87,-0.21%
09-05-13,1711.35,1708.91,1721.06,1701.07,0.07%
09-04-13,1710.12,1707.77,1716.83,1701.53,0.03%
09-03-13,1709.58,1707,1714.3,1699.67,0.09%
09-02-13,1708.1,1720.71,1725.36,1705.35,-0.78%
08-30-13,1721.59,1724.23,1725.77,1715.16,-0.21%
08-29-13,1725.27,1729.76,1731.92,1719.59,-0.34%
08-28-13,1731.08,1736.03,1741.34,1722.88,-0.36%
08-27-13,1737.37,1732.61,1740.84,1728.9,0.22%
08-26-13,1733.61,1734.02,1737.97,1730.26,-0.03%
08-23-13,1734.16,1747.18,1749.67,1732.35,-0.79%
08-22-13,1747.99,1750.28,1759.41,1744.6,-0.24%
08-21-13,1752.15,1755.26,1758.64,1747.12,-0.21%
08-20-13,1755.9,1749.04,1758.96,1747.09,0.31%
08-19-13,1750.55,1738.23,1752.88,1735.74,0.59%
08-16-13,1740.33,1748.89,1750.09,1736.77,-0.52%
08-15-13,1749.5,1732.79,1750.73,1732.23,0.91%
08-14-13,1733.74,1726.77,1739.38,1725.08,0.31%
08-13-13,1728.4,1722.11,1735.39,1720.64,0.32%
08-12-13,1722.97,1722.16,1727.47,1720.05,0.01%
08-09-13,1722.82,1727.99,1730.86,1719.08,-0.36%
08-08-13,1728.97,1726.68,1732.98,1721.58,0.08%
08-07-13,1727.55,1709.36,1735.64,1698.67,1.03%
08-06-13,1710.01,1710,1716.86,1707.6,-0.07%
08-05-13,1711.13,1704.32,1720.28,1700.57,-0.45%
08-02-13,1718.94,1697.75,1721.31,1696.25,1.19%
08-01-13,1698.79,1708.24,1711.79,1696.63,-0.59%
07-31-13,1708.92,1699.82,1714.2,1698.02,0.45%
07-30-13,1701.22,1705.69,1710.54,1698.71,-0.32%
07-29-13,1706.76,1710.94,1714.01,1705.03,-0.32%
07-26-13,1712.29,1717.45,1719.02,1707.43,-0.36%
07-25-13,1718.47,1708.39,1723.26,1704.38,0.54%
07-24-13,1709.21,1716.33,1718.49,1704.77,-0.47%
07-23-13,1717.3,1717.62,1720.03,1711.97,-0.08%
07-22-13,1718.7,1710.22,1721.5,1706.75,0.43%
07-19-13,1711.36,1711.93,1715.51,1705.46,-0.10%
07-18-13,1713.04,1698.97,1713.14,1697.85,0.78%
07-17-13,1699.82,1689.41,1708.87,1685.38,0.56%
07-16-13,1690.32,1693.53,1695.73,1680.87,-0.23%
07-15-13,1694.26,1697.58,1702.08,1686.88,-0.26%
07-12-13,1698.69,1706.36,1708.86,1695.9,-0.52%
07-11-13,1707.55,1703.01,1723.94,1691.18,0.19%
07-10-13,1704.32,1696.25,1704.55,1688.79,0.38%
07-09-13,1697.91,1715.94,1718.18,1690.49,-1.11%
07-08-13,1717.01,1701.06,1718.86,1696.15,0.95%
07-05-13,1700.84,1717.17,1723.11,1695.47,-1.00%
07-04-13,1717.96,1743.37,1744.85,1715.24,-1.49%
07-03-13,1744,1719.18,1749.65,1718.28,1.39%
07-02-13,1720.04,1727.27,1728.47,1717.25,-0.46%
07-01-13,1728.07,1734.89,1742.12,1719.31,-0.56%
06-28-13,1737.88,1751.03,1753.44,1730.78,-0.80%
06-27-13,1751.89,1768.42,1770.9,1744.49,-1.05%
06-26-13,1770.41,1777.66,1784.24,1767.4,-0.49%
06-25-13,1779.13,1791.79,1797.37,1774.7,-0.80%
06-24-13,1793.39,1779.65,1797.35,1775.12,0.56%
06-21-13,1783.32,1776.95,1798.6,1773.11,0.33%
06-20-13,1777.49,1749.78,1778.51,1747.85,1.49%
06-19-13,1751.39,1774.18,1776.08,1746.05,-1.33%
06-18-13,1774.99,1772.15,1778.49,1761.01,0.10%
06-17-13,1773.28,1770.83,1776.64,1766.68,0.13%
06-14-13,1771.05,1774.92,1776.83,1757.73,-0.32%
06-13-13,1776.69,1768.41,1784.37,1767.17,0.43%
06-12-13,1769,1772,1778.17,1762.92,-0.24%
06-11-13,1773.21,1755.15,1774.53,1754.02,0.94%
06-10-13,1756.74,1734.18,1758.72,1731.95,1.03%
06-07-13,1738.85,1745.37,1748.26,1725.08,-0.41%
06-06-13,1746.08,1722.9,1755.25,1720.33,1.29%
06-05-13,1723.88,1719.4,1724.43,1707.07,0.21%
06-04-13,1720.26,1714.83,1721.36,1711.85,0.24%
06-03-13,1716.14,1717.24,1734.25,1712.92,-0.19%
05-31-13,1719.46,1718.71,1723.68,1710.68,-0.02%
05-30-13,1719.85,1712.69,1720.53,1702.86,0.37%
05-29-13,1713.58,1696.62,1715.45,1694.02,0.97%
05-28-13,1697.09,1694.71,1705.66,1690.85,0.10%
05-27-13,1695.4,1705.34,1709.81,1692.91,-0.66%
05-24-13,1706.6,1704.37,1710.05,1694.49,0.07%
05-23-13,1705.39,1676.01,1707.76,1673.78,1.72%
05-22-13,1676.48,1682.63,1688.91,1672.78,-0.48%
05-21-13,1684.53,1704.92,1709.07,1678.15,-1.22%
05-20-13,1705.38,1695.2,1708.28,1693.41,0.53%
05-17-13,1696.47,1706.37,1709.32,1693.41,-0.61%
05-16-13,1706.85,1698.01,1712.88,1693.93,0.50%
05-15-13,1698.43,1687.51,1702.67,1687.18,0.58%
05-14-13,1688.58,1702.74,1705.41,1687.18,-0.85%
05-13-13,1703.13,1696.6,1713.7,1695.94,0.21%
05-10-13,1699.55,1686.35,1711.04,1685.37,0.74%
05-09-13,1687,1686.99,1700.35,1680.9,-0.05%
05-08-13,1687.77,1687.65,1694.28,1680.04,-0.04%
05-07-13,1688.38,1701.16,1703.29,1684.05,-0.79%
05-06-13,1701.87,1708.03,1709.62,1698.31,-0.42%
05-03-13,1709.09,1711.86,1713.33,1696.5,-0.22%
05-02-13,1712.84,1711.5,1717.95,1706.41,-0.01%
05-01-13,1712.99,1710.32,1719.53,1709.55,0.11%
04-30-13,1711.13,1710.65,1715.55,1703.83,-0.03%
04-29-13,1711.68,1719.51,1722.1,1708.67,-0.49%
04-26-13,1720.13,1714.92,1724.06,1708.17,0.25%
04-25-13,1715.9,1704.78,1721.41,1697.97,0.60%
04-24-13,1705.65,1705.43,1710.36,1702.33,-0.03%
04-23-13,1706.08,1711.84,1713.43,1703.85,-0.38%
04-22-13,1712.6,1704.51,1713.41,1701.66,0.45%
04-19-13,1704.91,1710.68,1719.43,1703.39,-0.35%
04-18-13,1710.96,1707.9,1715.77,1705.06,0.14%
04-17-13,1708.57,1711.74,1718.45,1699.96,-0.18%
04-16-13,1711.64,1711.36,1720.96,1702.72,-0.05%
04-15-13,1712.44,1732,1739.33,1709.24,-1.17%
04-12-13,1732.71,1737.08,1746.51,1731.66,-0.31%
04-11-13,1738.14,1740.15,1741.55,1725.05,-0.13%
04-10-13,1740.4,1744.83,1749.6,1736.06,-0.33%
04-09-13,1746.17,1742.97,1748.62,1733.18,0.17%
04-08-13,1743.18,1743.11,1750.4,1737.88,-0.10%
04-05-13,1744.91,1712.77,1746.97,1710.37,1.83%
04-04-13,1713.49,1690.62,1715.01,1690,1.31%
04-03-13,1691.29,1688.43,1697.85,1684.16,0.14%
04-02-13,1688.94,1696.56,1703.45,1687.65,-0.50%
04-01-13,1697.51,1688.46,1699.26,1687.24,0.44%
03-29-13,1690.09,1690.53,1696.3,1685.64,-0.11%
03-28-13,1691.92,1681.21,1692.7,1676.82,0.56%
03-27-13,1682.47,1678.55,1688.03,1675.83,0.19%
03-26-13,1679.29,1685.72,1689.75,1675.37,-0.44%
03-25-13,1686.64,1704.88,1708.63,1681.62,-1.07%
03-22-13,1704.94,1692.52,1706.95,1691.85,0.68%
03-21-13,1693.5,1685.08,1697.3,1680.84,0.49%
03-20-13,1685.26,1679.75,1694.92,1676.22,0.26%
03-19-13,1680.9,1682.86,1685.4,1670.93,-0.17%
03-18-13,1683.76,1678.83,1688.07,1676.28,0.30%
03-15-13,1678.79,1670.23,1686.62,1667.56,0.47%
03-14-13,1670.97,1638.62,1674.82,1638.4,1.95%
03-13-13,1638.99,1632.08,1646.13,1630.87,0.36%
03-12-13,1633.05,1631.44,1636.78,1624.15,0.05%
03-11-13,1632.2,1624.69,1645.14,1622.72,0.40%
03-08-13,1625.74,1632.54,1639.13,1621.2,-0.45%
03-07-13,1633.13,1629.88,1640.53,1623.15,0.15%
03-06-13,1630.72,1643,1644.93,1628.36,-0.76%
03-05-13,1643.26,1648.42,1651.95,1639.87,-0.29%
03-04-13,1648.03,1630.51,1649.34,1628.45,1.10%
03-01-13,1630.12,1643.95,1647.14,1624.12,-0.89%
02-28-13,1644.74,1644.05,1650.23,1638.34,0.00%
02-27-13,1644.79,1647.75,1649.25,1634.76,-0.29%
02-26-13,1649.57,1646.7,1658.99,1645.4,0.09%
02-25-13,1648.11,1635.47,1651.48,1635.14,-0.44%
02-22-13,1655.36,1657.15,1664.05,1652.72,-0.16%
02-21-13,1658,1645.03,1660.61,1642.19,0.68%
02-20-13,1646.8,1665.9,1667.89,1640.6,-1.21%
02-19-13,1666.99,1675.12,1677.84,1664.06,-0.54%
02-18-13,1676.01,1671.22,1681.32,1667.67,0.08%
02-15-13,1674.66,1680.88,1683.47,1667.04,-0.40%
02-14-13,1681.39,1687.47,1689.2,1678.93,-0.42%
02-13-13,1688.41,1712.28,1715.73,1685.22,-1.36%
02-12-13,1711.63,1715.33,1719.49,1698.52,-0.32%
02-11-13,1717.11,1730.67,1732.88,1714.46,-0.82%
02-08-13,1731.3,1712.41,1736.91,1711.16,1.09%
02-07-13,1712.63,1704.94,1717.13,1702.4,0.39%
02-06-13,1706.05,1701.27,1709.49,1696.82,0.27%
02-05-13,1701.38,1717.03,1720.92,1697.47,-0.96%
02-04-13,1717.91,1720.64,1724.38,1700.62,-0.12%
02-01-13,1719.94,1723.76,1743.15,1718.6,-0.31%
01-31-13,1725.26,1715.97,1727.95,1713.18,0.52%
01-30-13,1716.36,1707.73,1718.72,1698.15,0.46%
01-29-13,1708.58,1712.56,1716.74,1698.69,-0.27%
01-28-13,1713.22,1695.26,1724.66,1694.18,0.82%
01-25-13,1699.37,1686.74,1702.48,1684.92,0.68%
01-24-13,1687.92,1690.59,1694.97,1681.98,-0.20%
01-23-13,1691.29,1683.17,1695.91,1682.53,0.42%
01-22-13,1684.3,1683.76,1692.11,1679.9,0.00%
01-21-13,1684.28,1675.77,1690.92,1675.56,0.27%
01-18-13,1679.76,1692.41,1694.07,1677.14,-0.77%
01-17-13,1692.79,1693.68,1697.13,1687.65,-0.11%
01-16-13,1694.61,1698.05,1704.46,1691.24,-0.26%
01-15-13,1698.99,1696.89,1702.84,1693.81,0.05%
01-14-13,1698.09,1703.6,1706.99,1692.9,-0.32%
01-11-13,1703.54,1710.01,1712.87,1697.26,-0.35%
01-10-13,1709.54,1699.02,1711.76,1695.83,0.57%
01-09-13,1699.9,1707.96,1709.34,1695.02,-0.51%
01-08-13,1708.6,1712.75,1714.9,1702.33,-0.26%
01-07-13,1713.07,1707.07,1713.38,1700.88,0.35%
01-04-13,1707.05,1712.31,1713.56,1702.17,-0.28%
01-03-13,1711.86,1727.76,1730.37,1710.18,-0.97%
01-02-13,1728.61,1727.45,1744.08,1724.99,0.05%
01-01-13,1727.78,1726.17,1736.08,1725.74,0.05%
12-31-12,1726.93,1726.1,1730.97,1716.6,0.04%
12-28-12,1726.32,1725.72,1729.05,1715.78,-0.04%
12-27-12,1727.01,1731.18,1736.72,1721.53,-0.28%
12-26-12,1731.93,1730,1735.8,1728.09,0.04%
12-25-12,1731.28,1729.89,1733.22,1705.96,-0.01%
12-24-12,1731.45,1737.31,1740.31,1727.81,-0.48%
12-21-12,1739.84,1748.85,1750.19,1736.77,-0.53%
12-20-12,1749.07,1741.57,1751.32,1740.61,0.36%
12-19-12,1742.82,1743.22,1750.26,1740.47,-0.02%
12-18-12,1743.25,1736.85,1745.72,1733.94,0.31%
12-17-12,1737.78,1737.42,1741.99,1732.78,0.00%
12-14-12,1737.72,1730.05,1739.44,1728.12,0.40%
12-13-12,1730.88,1733.14,1735.39,1727.15,-0.13%
12-12-12,1733.11,1731.91,1736.22,1729.17,0.04%
12-11-12,1732.34,1731.86,1733.91,1728.7,0.00%
12-10-12,1732.27,1734.07,1735.22,1727.11,-0.18%
12-07-12,1735.41,1738,1740.57,1730.85,-0.22%
12-06-12,1739.29,1741.03,1748.03,1737.3,-0.15%
