date,close,open,high,low,diff
07-08-16,148.21,149.15,149.97,147.79,-0.72%
07-07-16,149.29,149.31,149.82,148.41,-0.11%
07-06-16,149.45,149.25,150.79,148.89,0.04%
07-05-16,149.395,148.32,149.495,148.09,0.60%
07-04-16,148.505,148.04,148.745,147.45,0.19%
07-01-16,148.225,148.34,148.775,147.3,-0.20%
06-30-16,148.515,148.62,149.265,147.67,-0.16%
06-29-16,148.76,150.28,151,148.44,-1.10%
06-28-16,150.42,151.92,152.87,150.15,-1.11%
06-27-16,152.105,150.92,153.315,150.87,0.74%
06-24-16,150.995,147.04,152.205,146.9,2.59%
06-23-16,147.185,147.99,148.725,146.95,-0.64%
06-22-16,148.13,148.47,149.31,147.6,-0.35%
06-21-16,148.655,149.27,149.965,148.2,-0.54%
06-20-16,149.455,150.67,150.885,148.77,-0.91%
06-17-16,150.82,150.99,151.8,150.29,-0.21%
06-16-16,151.13,150.47,151.97,150.32,0.31%
06-15-16,150.66,151.45,152.19,150.11,-0.61%
06-14-16,151.585,150.88,152.345,150.66,0.37%
06-13-16,151.025,150.73,151.495,150.36,0.07%
06-10-16,150.92,149.18,151.1,148.99,1.04%
06-09-16,149.37,148.6,149.81,148.23,0.42%
06-08-16,148.74,148.72,149.33,148.11,-0.11%
06-07-16,148.9,149.54,150.24,148.35,-0.55%
06-06-16,149.725,149.72,150.485,149.31,-0.04%
06-03-16,149.785,152.59,153.225,149.57,-1.93%
06-02-16,152.73,153.3,153.79,152.46,-0.46%
06-01-16,153.44,152.91,153.98,152.79,0.23%
05-31-16,153.095,154.05,154.635,152.77,-0.74%
05-30-16,154.235,152.63,154.295,152.63,0.98%
05-27-16,152.735,151.82,152.905,151.5,0.53%
05-26-16,151.935,152.01,152.735,151.05,-0.17%
05-25-16,152.19,152.77,153.43,151.81,-0.50%
05-24-16,152.955,152.14,153.875,152.07,0.41%
05-23-16,152.325,152.57,153.375,152.03,-0.24%
05-20-16,152.69,152.74,153.6,152.47,-0.12%
05-19-16,152.875,153.09,153.645,152.66,-0.21%
05-18-16,153.2,151.51,153.71,151.2,1.02%
05-17-16,151.655,151.62,151.885,150.75,-0.07%
05-16-16,151.76,151.44,152.18,151.23,0.12%
05-13-16,151.575,150.66,152.135,150.06,0.50%
05-12-16,150.82,150,150.98,149.58,0.42%
05-11-16,150.185,150.67,151.215,149.62,-0.44%
05-10-16,150.855,151.24,151.605,150.55,-0.37%
05-09-16,151.415,150.56,151.915,149.72,0.50%
05-06-16,150.655,150.28,151.565,150.09,0.13%
05-05-16,150.465,150.17,151.025,149.75,0.08%
05-04-16,150.35,148.2,150.48,147.99,1.32%
05-03-16,148.395,146.38,148.495,145.93,1.25%
05-02-16,146.56,147.45,147.85,146.33,-0.69%
04-29-16,147.585,146.46,148.125,146.02,0.65%
04-28-16,146.635,148.01,148.325,146.28,-1.02%
04-27-16,148.15,147.87,148.89,147.17,0.09%
04-26-16,148.01,148.29,148.63,147.63,-0.28%
04-25-16,148.43,148.07,148.63,147.58,0.11%
04-22-16,148.26,146.96,148.4,146.53,0.77%
04-21-16,147.13,146,147.31,145.77,0.65%
04-20-16,146.185,145.41,146.695,145.2,0.41%
04-19-16,145.585,147.42,147.865,144.85,-1.33%
04-18-16,147.55,147.71,148.78,147.1,-0.23%
04-15-16,147.89,148.57,149.09,147.43,-0.57%
04-14-16,148.745,147.6,149.525,147.5,0.65%
04-13-16,147.785,147.37,148.315,147.07,0.18%
04-12-16,147.515,147.18,148.165,147.02,0.11%
04-11-16,147.35,148.28,148.95,147.01,-0.73%
04-08-16,148.44,149.38,150.04,147.73,-0.75%
04-07-16,149.56,148.87,149.79,148.2,0.37%
04-06-16,149.015,149.51,150.045,148.52,-0.43%
04-05-16,149.655,148.44,149.925,148.19,0.73%
04-04-16,148.575,147.9,148.725,147.58,0.36%
04-01-16,148.04,147.46,149.06,147.1,0.30%
03-31-16,147.6,147.39,147.99,146.2,0.05%
03-30-16,147.53,148.84,149.41,146.87,-1.00%
03-29-16,149.025,150.12,150.585,148.77,-0.85%
03-28-16,150.305,150.56,151.365,149.93,-0.26%
