date,close,open,high,low,volume,diff
09-15-15,14.326,14.365,14.41,14.24,22.26K,-0.26%
09-14-15,14.363,14.555,14.59,14.31,24.50K,-0.98%
09-13-15,14.505,14.585,14.59,14.5,-,0.00%
09-11-15,14.505,14.685,14.745,14.25,41.11K,-0.96%
09-10-15,14.645,14.59,14.845,14.535,33.33K,0.47%
09-09-15,14.576,14.795,14.93,14.56,34.42K,-1.21%
09-08-15,14.755,14.55,14.88,14.44,42.66K,1.65%
09-07-15,14.515,14.62,14.645,14.46,-,-0.72%
09-06-15,14.62,14.565,14.67,14.55,-,0.49%
09-04-15,14.549,14.69,14.825,14.475,26.61K,-1.07%
09-03-15,14.707,14.66,14.95,14.55,32.24K,0.27%
09-02-15,14.667,14.585,14.815,14.425,38.22K,0.32%
09-01-15,14.62,14.595,14.755,14.495,36.88K,0.23%
08-31-15,14.586,14.58,14.67,14.39,29.89K,0.39%
08-30-15,14.53,14.54,14.545,14.525,-,-0.03%
08-28-15,14.535,14.47,14.65,14.34,13.21K,0.79%
08-27-15,14.421,14.185,14.185,14.13,0.01K,2.68%
08-26-15,14.045,14.665,14.7,14.045,0.04K,-3.87%
08-25-15,14.61,14.65,14.655,14.65,0.01K,-1.27%
08-24-15,14.798,15.37,15.44,14.595,38.24K,-3.53%
08-23-15,15.34,15.32,15.38,15.275,-,-0.05%
08-21-15,15.348,15.59,15.77,15.155,17.64K,-1.09%
08-20-15,15.517,15.465,15.505,15.465,0.25K,1.94%
08-19-15,15.222,14.9,15.355,14.84,13.46K,2.62%
08-18-15,14.834,15.345,15.37,14.73,11.21K,-3.35%
08-17-15,15.348,15.265,15.42,15.23,6.79K,0.97%
08-16-15,15.2,15.215,15.245,15.195,-,-0.07%
08-14-15,15.21,15.175,15.175,15.175,0.00K,-1.55%
08-13-15,15.449,15.565,15.605,15.32,11.73K,-0.16%
08-12-15,15.473,15.48,15.51,15.48,0.00K,1.26%
08-11-15,15.281,15.22,15.24,15.22,0.02K,-0.05%
08-10-15,15.289,14.89,15.335,14.89,0.01K,3.83%
08-09-15,14.725,14.78,14.79,14.725,-,-0.65%
08-07-15,14.821,14.63,14.99,14.565,62.03K,0.98%
08-06-15,14.677,14.545,14.735,14.49,32.73K,0.85%
08-05-15,14.553,14.545,14.675,14.465,34.45K,0.02%
08-04-15,14.55,14.605,14.605,14.55,0.12K,0.23%
08-03-15,14.516,14.73,14.73,14.415,0.13K,-1.29%
08-02-15,14.705,14.76,14.765,14.695,-,-0.28%
07-31-15,14.746,14.855,14.865,14.85,0.10K,0.37%
07-30-15,14.691,14.75,14.785,14.63,0.04K,-0.29%
07-29-15,14.734,14.64,14.665,14.64,0.01K,0.70%
07-28-15,14.631,14.64,14.64,14.64,0.17K,0.25%
07-27-15,14.594,14.61,14.65,14.56,0.02K,-0.42%
07-26-15,14.655,14.64,14.66,14.62,-,1.23%
07-24-15,14.477,14.595,14.63,14.33,0.03K,-1.40%
07-23-15,14.683,14.635,14.635,14.635,0.17K,-0.32%
07-22-15,14.73,14.81,14.865,14.585,34.47K,-0.26%
07-21-15,14.769,14.615,14.835,14.615,0.10K,0.16%
07-20-15,14.745,14.715,14.905,14.485,0.05K,-0.53%
07-19-15,14.823,14.825,14.852,14.817,-,0.02%
07-17-15,14.82,14.935,14.945,14.825,0.06K,-0.96%
07-16-15,14.964,14.99,14.99,14.97,0.01K,-0.43%
07-15-15,15.028,15.045,15.045,14.99,0.09K,-1.75%
07-14-15,15.295,15.36,15.38,15.295,0.03K,-0.91%
07-13-15,15.436,15.495,15.495,15.3,0.15K,-1.15%
07-12-15,15.615,15.537,15.645,15.493,-,0.95%
07-10-15,15.468,15.33,15.585,15.33,0.05K,0.80%
07-09-15,15.345,15.14,15.44,15.14,0.37K,1.31%
07-08-15,15.147,15.045,15.13,14.74,0.11K,1.32%
07-07-15,14.95,15.595,15.595,14.805,1.04K,-4.93%
07-06-15,15.726,15.55,15.695,15.485,0.09K,0.26%
07-05-15,15.685,15.707,15.773,15.563,-,0.20%
07-03-15,15.653,15.625,15.683,15.563,-,0.75%
07-02-15,15.537,15.47,15.695,15.445,0.26K,-0.10%
07-01-15,15.552,15.635,15.645,15.49,0.22K,0.01%
06-30-15,15.551,15.725,15.805,15.415,1.99K,-0.72%
06-29-15,15.664,15.935,16,15.63,19.51K,-1.66%
06-28-15,15.928,15.87,16.02,15.87,-,1.23%
06-26-15,15.735,15.725,15.725,15.725,0.00K,-0.67%
06-25-15,15.841,15.88,15.94,15.765,32.73K,-0.04%
06-24-15,15.848,15.84,15.855,15.84,0.02K,0.74%
06-23-15,15.732,15.79,15.825,15.76,0.00K,-2.51%
06-22-15,16.137,16.1,16.1,16.1,0.00K,0.37%
06-21-15,16.078,16.087,16.102,16.053,-,-0.42%
06-19-15,16.146,16.19,16.235,15.915,12.66K,-0.28%
06-18-15,16.192,16.11,16.46,16.075,14.79K,1.29%
06-17-15,15.985,15.995,16.29,15.925,9.15K,-0.12%
06-16-15,16.004,16.075,16.14,15.89,8.26K,-0.45%
06-15-15,16.076,16.2,16.2,16.2,0.00K,0.58%
06-14-15,15.983,15.912,16.06,15.893,-,1.04%
06-12-15,15.818,15.995,15.995,15.835,0.01K,-0.85%
06-11-15,15.953,15.945,15.945,15.945,0.01K,-0.04%
06-10-15,15.959,15.91,16.19,15.895,45.25K,0.06%
06-09-15,15.949,15.97,15.97,15.97,0.00K,-0.01%
06-08-15,15.951,16.035,16.06,15.9,0.02K,-0.26%
06-07-15,15.993,16.032,16.053,15.988,-,0.14%
06-05-15,15.971,15.98,16.06,15.94,0.01K,-0.73%
06-04-15,16.089,16.115,16.135,16.115,0.01K,-2.28%
06-03-15,16.464,16.375,16.375,16.37,0.00K,-1.99%
06-02-15,16.799,16.725,16.84,16.61,41.68K,0.81%
06-01-15,16.664,16.635,17.1,16.615,0.02K,-0.23%
05-31-15,16.703,16.693,16.805,16.693,-,0.11%
05-29-15,16.684,16.685,16.69,16.67,0.02K,0.19%
05-28-15,16.653,16.665,16.75,16.555,0.07K,0.09%
05-27-15,16.638,16.65,16.695,16.65,0.16K,-0.57%
05-26-15,16.734,16.995,17.08,16.75,0.11K,-2.17%
05-25-15,17.105,17.028,17.178,17.002,-,0.47%
05-24-15,17.025,17.043,17.093,17.02,-,-0.03%
05-22-15,17.03,17.09,17.09,17.09,0.02K,-0.47%
05-21-15,17.111,17.065,17.185,17.065,0.01K,0.11%
05-20-15,17.092,17.1,17.1,17.1,0.01K,0.25%
05-19-15,17.05,17.465,17.465,16.905,0.02K,-3.74%
05-18-15,17.712,17.62,17.71,17.595,0.22K,0.87%
05-17-15,17.56,17.517,17.733,17.508,-,0.09%
05-15-15,17.545,17.485,17.545,17.335,0.04K,0.55%
05-14-15,17.449,17.125,17.41,17.125,0.02K,1.41%
05-13-15,17.207,16.525,17.2,16.525,0.14K,4.22%
05-12-15,16.51,16.465,16.54,16.305,0.03K,1.30%
05-11-15,16.298,16.475,16.475,16.215,0.24K,-1.03%
05-10-15,16.468,16.433,16.483,16.425,-,0.16%
05-08-15,16.442,16.37,16.455,16.32,0.07K,1.04%
05-07-15,16.272,16.33,16.445,16.23,0.10K,-1.29%
05-06-15,16.484,16.52,16.545,16.38,0.10K,-0.44%
05-05-15,16.557,16.39,16.57,16.35,0.05K,0.85%
05-04-15,16.418,16.15,16.695,16.15,0.07K,1.50%
05-03-15,16.175,16.148,16.182,16.14,-,0.40%
05-01-15,16.111,16.09,16.225,15.905,0.73K,-0.08%
04-30-15,16.124,16.545,16.7,15.815,2.48K,-3.28%
