Date,Open,High,Low,Close,Volume
2006-04-07,30900,31150,30350,30900,5615540
2006-04-06,31450,31650,30800,30800,7244620
2006-04-04,30100,31100,29900,30850,11440330
2006-04-03,29300,29600,29150,29600,4385750
2006-03-31,28300,29600,28150,28900,7951900
2006-03-30,28200,28800,28100,28300,6500260
2006-03-29,27300,27800,26950,27650,4469160
2006-03-28,27050,27850,26850,27650,5386560
2006-03-27,26600,27550,26600,27450,6955570
2006-03-24,26350,27150,26200,26550,6634780
2006-03-23,27700,27800,26450,27200,7097050
2006-03-22,27600,27950,27000,27350,8561020
2006-03-21,28800,29500,28300,28400,6338180
2006-03-20,28650,29300,28400,28700,5088750
2006-03-17,27550,28850,27550,28600,7736350
2006-03-16,28300,28600,26850,27700,12099990
2006-03-15,28700,28850,28050,28350,7483840
2006-03-14,28950,29150,27950,28350,8666630
2006-03-13,29700,29850,28750,29050,8028990
2006-03-10,28800,30050,28800,29400,9731080
2006-03-09,29400,29750,29000,29100,8263820
2006-03-08,28500,29450,28350,29450,8473400
2006-03-07,30100,30250,28850,29150,13826440
2006-03-06,30350,31150,29950,31000,8348640
2006-03-03,31700,31900,29850,30500,12898998
2006-03-02,33750,33850,31850,32050,7713450
2006-02-28,33000,33600,32950,33250,6471233
2006-02-27,32750,33100,32200,32700,4892289
2006-02-24,32150,32900,31650,32900,8507219
2006-02-23,31150,32500,31100,32200,10433443
2006-02-22,30350,31150,30350,30950,9849932
2006-02-21,30800,30950,30100,30300,7633217
2006-02-20,30600,31400,30600,31000,7060460
2006-02-17,30700,31500,30600,31200,11828324
2006-02-16,29500,30750,29300,30350,15694423
2006-02-15,33000,33100,28950,28950,30750375
2006-02-14,32450,33100,32000,33000,9133012
2006-02-13,34100,34400,32800,33000,10805711
2006-02-10,34850,35150,33750,34400,8404537
2006-02-09,35400,35500,34550,34900,7423868
2006-02-08,35050,35900,34650,34700,9523601
2006-02-07,35500,36300,35250,35250,12338416
2006-02-06,34300,35650,33700,35450,12325246
2006-02-03,35150,36050,34950,35000,11244571
2006-02-02,36350,36650,34950,36250,14279598
2006-02-01,36850,37250,34900,35500,14930820
2006-01-27,37350,37750,36250,37500,14503649
