Date,Open,High,Low,Close,Volume
2009-06-26,111000,115500,111000,114500,612196
2009-06-25,109000,113000,107500,110500,478030
2009-06-24,109000,112500,107000,107500,384330
2009-06-23,105500,109000,104500,108500,567019
2009-06-22,108000,109000,105500,108500,567528
2009-06-19,104000,108000,104000,108000,715093
2009-06-18,101000,103500,99900,102000,460380
2009-06-17,100000,102500,99600,100000,338665
2009-06-16,99600,102500,98900,102000,349184
2009-06-15,105000,105000,100500,101000,561463
2009-06-12,103000,105000,102000,104000,598398
2009-06-11,104000,105000,101000,102000,729082
2009-06-10,101500,106500,100500,105000,704211
2009-06-09,100000,103000,99300,101000,820672
2009-06-08,101000,103500,97600,98500,646763
2009-06-05,104500,105500,99200,102000,727182
2009-06-04,104000,108500,103000,103500,823777
2009-06-03,105000,107500,101500,104000,1161460
2009-06-02,110500,113000,102500,103500,1802508
2009-06-01,114500,115500,109000,111000,1016870
2009-05-29,119000,119000,112000,118000,1068496
2009-05-28,114000,123000,112500,120500,744382
2009-05-27,112500,115000,109000,114000,474475
2009-05-26,111000,114500,105000,108500,481036
2009-05-25,105500,110000,102500,108500,624362
2009-05-22,111500,115500,104000,104000,832723
2009-05-21,115500,119000,112000,113500,920060
2009-05-20,108000,115500,105500,113000,738453
2009-05-19,110000,114000,108000,109000,737080
2009-05-18,103000,110500,102500,107000,584533
2009-05-15,108000,112000,102500,104000,780853
2009-05-14,101500,111500,101000,106000,1139503
2009-05-13,100000,105500,98400,103000,748019
2009-05-12,94700,99300,94500,99000,584331
2009-05-11,96100,96700,94000,94800,486842
2009-05-08,99000,99500,94600,96200,564691
2009-05-07,100000,100500,95000,97900,474147
2009-05-06,101500,101500,97800,98700,607115
2009-05-04,100500,102000,99500,101500,450799
2009-04-30,98300,103500,97800,98200,708504
2009-04-29,96000,97400,92800,97100,501238
2009-04-28,98500,99500,94900,95200,605454
2009-04-27,95300,98900,94700,95400,554957
2009-04-24,94600,96200,94000,94700,374343
2009-04-23,95300,95900,92500,94600,427848
2009-04-22,93500,94800,91300,93600,380745
2009-04-21,91100,92800,90200,92400,332558
2009-04-20,94200,94700,91400,91800,421594
2009-04-17,91000,94300,89900,94000,744354
2009-04-16,94000,94700,89500,89500,577178
2009-04-15,89000,92900,89000,92100,387508
2009-04-14,92000,94500,90100,92000,403781
2009-04-13,90300,94500,89700,92000,644295
2009-04-10,89800,91600,88100,88300,476586
2009-04-09,86000,91700,84100,89500,918590
2009-04-08,84500,87700,84200,84500,619368
2009-04-07,81700,85400,80600,85000,916561
2009-04-06,79500,82600,79100,81300,1830090
2009-04-03,84100,84600,81000,81900,1264965
2009-04-02,84800,85700,83200,84400,708962
2009-04-01,80500,83500,79600,83500,874828
2009-03-31,79600,81800,79000,79600,775508
2009-03-30,79800,80300,77600,78400,484487
2009-03-27,81500,84000,78800,78800,870986
2009-03-26,81000,82600,80000,80600,700102
2009-03-25,84200,85100,80400,80700,712522
2009-03-24,83500,85100,83000,84300,460344
2009-03-23,81300,84300,80700,83000,551268
2009-03-20,79000,81800,78900,80400,353642
2009-03-19,80200,80300,78100,79000,346420
2009-03-18,79000,80600,78600,80200,750489
2009-03-17,80000,80800,78000,78200,590665
2009-03-16,76000,80300,75600,79000,757405
2009-03-13,77000,77500,74900,75500,651102
2009-03-12,79200,79200,74700,76300,1272867
2009-03-11,80900,80900,77200,78000,762742
2009-03-10,78200,80500,77500,78700,420172
2009-03-09,78200,81100,77600,78700,369870
2009-03-06,75300,79100,75300,77500,363228
2009-03-05,76500,79500,74900,77000,791801
2009-03-04,74600,76300,73500,75500,357667
2009-03-03,70400,75700,70000,74500,433372
2009-03-02,72900,73000,69300,71200,458933
2009-02-27,76300,77300,73200,74500,390880
2009-02-26,77900,79900,73000,75800,363119
2009-02-25,77000,77600,75600,76900,371436
2009-02-24,73000,75900,71800,75000,402844
2009-02-23,72800,74900,71300,74800,290952
2009-02-20,73800,74800,71100,71900,270968
2009-02-19,71300,74400,70200,74000,444872
2009-02-18,73000,73000,70400,72200,416782
2009-02-17,75500,75900,71900,73500,354114
2009-02-16,75000,78200,74700,76000,316697
2009-02-13,75000,76400,74300,75500,234512
2009-02-12,74700,74800,73000,74800,412228
2009-02-11,73000,76600,72100,74700,400807
2009-02-10,78000,78300,75100,75100,456100
2009-02-09,76600,78600,74000,76000,567935
2009-02-06,77300,77300,74000,75900,501857
2009-02-05,73300,75200,72600,73300,555357
2009-02-04,71700,75000,71000,73300,879560
2009-02-03,69000,71800,68100,70200,988278
2009-02-02,64000,69700,63900,68000,1130885
2009-01-30,63900,66300,63400,65200,682172
2009-01-29,64200,65800,64200,65000,558404
2009-01-28,61400,64900,61300,64000,534545
2009-01-23,59700,62000,58700,60000,481701
2009-01-22,62500,62800,59800,60700,579178
2009-01-21,60400,62300,59100,61400,584836
2009-01-20,64400,64400,62100,63100,410303
2009-01-19,65500,65900,63700,64800,574539
2009-01-16,62500,66300,62400,64400,702072
2009-01-15,64200,65000,61600,62600,721115
2009-01-14,63500,66900,62100,66900,1033350
2009-01-13,63700,64500,61800,63000,1381295
2009-01-12,65400,68000,65000,65000,545452
2009-01-09,67000,68500,65900,66000,976595
2009-01-08,69400,69500,65200,65300,1361786
2009-01-07,68800,71200,68000,70000,717169
2009-01-06,69800,70700,67400,68000,629348
2009-01-05,71800,71800,67600,68600,624097
2009-01-02,64200,70000,63700,70000,519023
2008-12-30,63300,64300,62600,63100,315948
2008-12-29,63100,64500,61100,63300,294902
2008-12-26,64100,64900,62900,63800,232156
2008-12-24,65400,66100,62000,64500,390012
2008-12-23,68500,69400,65500,66200,430956
2008-12-22,72000,72700,68500,70700,548681
2008-12-19,72100,74900,70000,72000,717743
2008-12-18,71300,74000,70600,72300,496947
2008-12-17,70400,71700,69300,70700,706326
2008-12-16,66000,70900,65400,68500,796017
2008-12-15,63000,65900,62300,65200,707371
2008-12-12,64000,67900,62100,62700,714869
2008-12-11,67000,67900,64300,65000,1218585
2008-12-10,63500,69900,62300,66300,1725539
2008-12-09,62000,63500,60000,62500,1089099
2008-12-08,58800,61500,58300,61500,1090381
2008-12-05,53800,57400,53600,56800,1007043
2008-12-04,51900,53900,51400,53300,1604890
2008-12-03,57100,57500,50000,50000,2985574
2008-12-02,56100,57900,55100,56000,700441
2008-12-01,62100,62200,59100,59800,569486
2008-11-28,63000,63300,60700,62000,1316087
2008-11-27,61100,63500,60200,63000,940476
2008-11-26,57000,61400,54600,58000,1731408
2008-11-25,68000,68400,55300,55300,2587645
2008-11-24,73500,73500,65000,65000,780451
2008-11-21,70400,75700,68700,73500,443357
2008-11-20,71400,72700,68800,70600,429294
2008-11-19,75500,75900,71300,74500,414565
2008-11-18,76300,79000,75700,75900,360754
2008-11-17,76800,79400,75100,77600,530248
2008-11-14,80400,80400,76800,78200,681193
2008-11-13,75600,79900,75600,79000,633638
2008-11-12,76000,80100,75900,78000,597386
2008-11-11,75200,79000,73600,77100,630778
2008-11-10,76000,77000,73500,76400,483094
2008-11-07,71500,76100,71300,75700,909625
2008-11-06,76000,76500,72900,74600,1121254
2008-11-05,79500,81300,77800,79600,1116880
2008-11-04,76900,78400,76300,77900,848263
2008-11-03,77000,77800,73700,76000,1622618
2008-10-31,74000,79000,71900,74900,2774099
2008-10-30,80900,82900,75200,80000,1197798
2008-10-29,81800,83400,74700,75000,784431
2008-10-28,71500,81900,71100,79400,1110129
2008-10-27,70400,77600,67500,77600,956976
2008-10-24,79600,79800,68100,70500,610333
2008-10-23,78000,82700,75700,80100,576639
2008-10-22,86200,88800,80700,83000,504416
2008-10-21,90900,91200,87700,87700,319208
2008-10-20,85800,90800,84800,90100,579727
2008-10-17,86300,88900,83000,85800,601317
2008-10-16,88400,88400,82900,86300,620296
2008-10-15,87400,91300,87300,90800,405782
2008-10-14,90100,90800,87100,89100,471698
2008-10-13,92700,92900,86000,86700,687433
2008-10-10,93000,93500,87600,90000,523637
2008-10-09,91200,96000,91200,94900,497902
2008-10-08,93900,95400,92100,93600,726152
2008-10-07,91400,94400,91200,93600,598027
2008-10-06,92000,93000,88500,92800,576198
2008-10-01,91500,91900,89900,91600,608053
2008-09-30,88800,93200,87000,91900,466304
2008-09-29,91000,92200,89500,91200,366267
2008-09-26,91100,92700,89900,91400,246868
2008-09-25,90700,91800,88500,90800,302943
2008-09-24,90100,92500,89100,91000,454691
2008-09-23,87400,89900,86900,89700,361682
2008-09-22,85800,88400,84300,87000,447177
2008-09-19,83500,88000,83200,84900,605996
2008-09-18,82400,82500,80300,81200,584753
2008-09-17,86100,86200,83500,84200,614868
2008-09-16,81000,85700,81000,85300,540770
2008-09-12,87300,87700,85500,86000,390238
2008-09-11,86400,87700,84000,86000,1225921
2008-09-10,89900,90000,85100,86300,1125506
