Date,Open,High,Low,Close,Volume
2013-05-16,193500,196500,193500,196000,552553
2013-05-15,194000,194500,192500,193000,343612
2013-05-14,189000,195000,188500,193500,666142
2013-05-13,186500,190500,185500,188500,505199
2013-05-10,190000,191000,187500,189000,659009
2013-05-09,192500,195500,188500,193500,1045527
2013-05-08,194000,196000,193000,193000,494550
2013-05-07,197500,198500,192500,194500,676267
2013-05-06,203500,204500,197500,199000,437314
2013-05-03,201000,203000,198500,202000,736743
2013-05-02,199500,200500,197000,197500,390957
2013-04-30,198000,199500,195500,199500,537163
2013-04-29,199000,200500,197000,197000,787107
2013-04-26,196000,196000,191500,194000,764571
2013-04-25,185000,197500,182500,195500,1211589
2013-04-24,185000,186000,182500,185000,628533
2013-04-23,183000,185000,181500,184000,519588
2013-04-22,182500,185000,180000,183000,964014
2013-04-19,187000,187500,176500,183500,1841834
2013-04-18,191500,194500,188000,188500,596073
2013-04-17,193000,195000,191500,192500,543939
2013-04-16,191000,194500,190000,191500,629087
2013-04-15,195500,196000,192000,193000,626828
2013-04-12,202000,203000,196000,196000,624841
2013-04-11,201000,202500,194000,200500,1179292
2013-04-10,200000,201500,199000,201000,571224
2013-04-09,197500,201500,196500,198500,815574
2013-04-08,199500,200500,196500,198000,846463
2013-04-05,203000,206000,196000,198000,1796414
2013-04-04,208000,212000,205500,207000,1874450
2013-04-03,220000,221000,216500,218000,436253
2013-04-02,222000,222500,217500,219500,404100
2013-04-01,224500,225000,220000,222000,173729
2013-03-29,226000,226500,223500,224000,285464
2013-03-28,224000,226000,222500,223500,363270
2013-03-27,222500,225000,221000,224000,544946
2013-03-26,215000,222000,215000,220500,574610
2013-03-25,218000,218500,214500,215500,335076
2013-03-22,214000,217000,213500,214500,263183
2013-03-21,219000,220000,215000,215000,336798
2013-03-20,217000,220500,215000,217500,361751
2013-03-19,219500,221500,216000,218000,517977
2013-03-18,223000,223500,218000,219000,436144
2013-03-15,213000,221500,213000,220000,892690
2013-03-14,210000,212500,209000,212000,422551
2013-03-13,209500,211500,209000,210000,369988
2013-03-12,210500,212000,208500,210500,343841
2013-03-11,210000,210000,206500,208500,731873
