date,close,open,high,low,volume,diff
09-10-13,107.39,108.92,108.95,106.39,325.31K,-1.94%
09-09-13,109.52,110.28,110.46,108.76,266.92K,-0.91%
09-06-13,110.53,108.52,110.7,108.12,269.87K,1.99%
09-05-13,108.37,107.59,108.54,107.13,184.89K,1.06%
09-04-13,107.23,108.44,108.61,106.77,224.38K,-1.21%
09-03-13,108.54,107.07,108.83,104.21,288.02K,1.68%
09-02-13,106.75,105.91,107.29,105.86,-,-0.84%
08-30-13,107.65,108.17,108.75,106.75,239.63K,-1.06%
08-29-13,108.8,109.53,110.07,107.72,250.04K,-1.18%
08-28-13,110.1,109.22,112.24,109.11,336.17K,1.00%
08-27-13,109.01,106.14,109.32,105.88,295.93K,2.92%
08-26-13,105.92,106.91,107.37,105.56,166.00K,-0.47%
08-23-13,106.42,105.22,106.94,104.3,259.55K,1.32%
08-22-13,105.03,103.86,105.25,103.53,204.69K,1.14%
08-21-13,103.85,105.18,105.35,103.5,259.24K,-1.07%
08-20-13,104.97,106.93,107.1,104.5,39.88K,-1.99%
08-19-13,107.1,107.78,107.8,106.56,102.78K,-0.34%
08-16-13,107.46,107.18,108.17,106.56,179.86K,0.12%
08-15-13,107.33,106.98,107.87,106.6,251.87K,0.45%
08-14-13,106.85,106.54,107.06,105.6,270.92K,0.02%
08-13-13,106.83,106.15,107.2,105.56,276.77K,0.68%
08-12-13,106.11,105.84,106.46,105.03,257.14K,0.13%
08-09-13,105.97,103.87,106.24,103.62,303.80K,2.49%
08-08-13,103.4,104.18,104.96,102.22,320.07K,-0.93%
08-07-13,104.37,105.68,105.77,104.1,294.24K,-0.88%
08-06-13,105.3,106.48,107.27,104.86,273.00K,-1.18%
08-05-13,106.56,106.84,107.69,105.7,204.86K,-0.36%
08-02-13,106.94,107.8,108.82,106.45,249.31K,-0.88%
08-01-13,107.89,105.26,108.06,105.1,267.59K,2.72%
07-31-13,105.03,103.15,105.43,102.93,299.13K,1.89%
07-30-13,103.08,104.52,104.54,102.67,235.61K,-1.41%
07-29-13,104.55,104.61,105.37,103.87,206.33K,-0.14%
07-26-13,104.7,105.56,105.63,103.9,208.86K,-0.75%
07-25-13,105.49,105.37,105.87,104.08,270.58K,0.09%
07-24-13,105.39,107.36,107.52,104.79,278.26K,-1.72%
07-23-13,107.23,107,107.55,105.46,241.64K,0.30%
07-22-13,106.91,108.34,108.79,106.43,29.38K,-1.06%
07-19-13,108.05,108.12,109.32,107.48,112.37K,0.01%
07-18-13,108.04,106.56,108.43,106.15,155.96K,1.47%
07-17-13,106.48,105.78,106.6,105.11,262.79K,0.45%
07-16-13,106,106.44,107.18,105.66,250.92K,-0.30%
07-15-13,106.32,106.05,106.63,104.65,210.81K,0.35%
07-12-13,105.95,104.58,106.33,104.36,234.76K,0.99%
07-11-13,104.91,106.15,107.45,104.31,316.73K,-1.51%
07-10-13,106.52,104.57,106.66,104.21,404.82K,2.89%
07-09-13,103.53,103,104.76,102.31,285.67K,0.38%
07-08-13,103.14,103.95,104.12,102.13,253.20K,-0.08%
07-05-13,103.22,101.09,103.68,100.71,256.03K,1.79%
07-04-13,101.4,101.27,101.57,100.71,-,0.16%
07-03-13,101.24,99.61,102.18,99.59,353.25K,1.65%
07-02-13,99.6,98.06,99.87,97.78,285.78K,1.64%
07-01-13,97.99,96.58,98.28,96.07,229.19K,1.48%
06-28-13,96.56,96.81,97.82,96.33,247.61K,-0.50%
06-27-13,97.05,95.52,97.41,95.35,269.31K,1.62%
06-26-13,95.5,95.17,95.7,93.68,291.42K,0.19%
06-25-13,95.32,95.02,96.17,94.59,267.54K,0.15%
06-24-13,95.18,93.85,95.59,92.67,315.82K,1.59%
06-21-13,93.69,94.96,95.84,93.12,340.90K,-1.79%
06-20-13,95.4,98.02,98.03,94.89,26.73K,-2.89%
06-19-13,98.24,98.59,99.01,97.57,111.30K,-0.20%
06-18-13,98.44,97.93,98.67,97.41,145.62K,0.69%
06-17-13,97.77,97.85,98.74,97.38,242.79K,-0.08%
06-14-13,97.85,96.64,98.25,96.42,240.91K,1.20%
06-13-13,96.69,95.77,96.92,95.02,224.45K,0.84%
06-12-13,95.88,94.89,96.45,94.46,244.87K,0.52%
06-11-13,95.38,95.76,95.91,94.04,257.47K,-0.41%
06-10-13,95.77,96.09,96.25,95.19,234.60K,-0.27%
06-07-13,96.03,94.72,96.39,93.72,330.83K,1.34%
06-06-13,94.76,93.7,95.32,93.69,267.16K,1.09%
06-05-13,93.74,93.86,94.48,93.41,268.91K,0.46%
06-04-13,93.31,93.35,94.41,92.38,301.14K,-0.15%
06-03-13,93.45,91.73,93.7,91.26,287.47K,1.61%
05-31-13,91.97,93.64,93.85,91.56,267.98K,-1.75%
05-30-13,93.61,92.89,93.99,91.65,294.86K,0.52%
