date,close,open,high,low,diff
02-02-17,876.1,873.87,882.9,871.98,0.11%
02-01-17,875.15,872.58,879.3,869.82,0.19%
01-31-17,873.53,883.36,885.64,868.99,-1.24%
01-30-17,884.53,886.98,891.91,881.75,-0.63%
01-27-17,890.18,881.99,891.93,878.48,0.77%
01-26-17,883.4,879.41,883.83,874.06,0.33%
01-25-17,880.46,886.28,888.2,875,-0.77%
01-24-17,887.27,880.85,888.26,878.98,0.59%
01-23-17,882.08,886.76,889.65,879.49,-0.67%
01-20-17,888.07,887.45,891.42,882.31,-0.06%
01-19-17,888.62,883.62,891.96,881.68,0.47%
01-18-17,884.43,877.53,887.59,875.03,0.69%
01-17-17,878.4,883.82,888.34,875.04,-0.73%
01-16-17,884.87,879.25,886.88,876.9,0.38%
01-13-17,881.49,878.95,885.57,876.2,0.18%
01-12-17,879.94,883.03,886.46,877.68,-0.45%
01-11-17,883.89,884.74,889.46,878.32,-0.20%
01-10-17,885.66,883.97,886.68,878.4,0.09%
01-09-17,884.89,875.4,887.4,874.58,0.87%
01-06-17,877.22,865.99,879.08,864.49,1.14%
01-05-17,867.32,870.19,872.12,863.07,-0.45%
01-04-17,871.28,871.08,876.49,866.76,-0.08%
01-03-17,871.99,863.82,875.93,863.01,0.80%
01-02-17,865.08,871.11,872.88,862.81,-0.70%
12-30-16,871.15,869.57,873.72,865.74,0.04%
12-29-16,870.84,868.96,874.06,867.05,0.07%
12-28-16,870.23,866.15,874.1,865.4,0.28%
12-27-16,867.84,862.67,869.83,860.11,0.52%
12-26-16,863.39,859.11,869.11,857.92,0.14%
12-23-16,862.15,868.75,871.37,858.83,-0.88%
12-22-16,869.84,863.27,872.36,861.45,0.63%
12-21-16,864.36,864.7,870.07,862.29,-0.13%
12-20-16,865.49,859.76,867.54,858.83,0.53%
12-19-16,860.93,863.19,868.68,858.81,-0.69%
12-16-16,866.91,869.65,873.79,861.97,-0.45%
12-15-16,870.8,872.96,877.7,868.42,-0.33%
12-14-16,873.7,872.24,879.71,870.23,0.07%
12-13-16,873.11,872.33,877.28,870.32,-0.02%
12-12-16,873.32,872.83,876.04,868.51,-0.10%
12-09-16,874.22,865.8,876.78,864.92,0.77%
12-08-16,867.55,865.52,871.53,863.44,0.11%
12-07-16,866.62,873.22,876.88,861.76,-0.85%
12-06-16,874.09,871.35,875.09,867.85,0.22%
12-05-16,872.16,868.24,876.98,863.69,0.12%
12-02-16,871.11,864.78,873.33,863.34,0.61%
12-01-16,865.82,868.41,872.39,861.38,-0.46%
11-30-16,869.86,873.08,877.86,865.09,-0.47%
11-29-16,873.95,875.71,877.66,871.14,-0.33%
11-28-16,876.87,872.03,880.37,868.9,0.18%
11-25-16,875.3,874.4,880.64,870.85,-0.04%
11-24-16,875.67,871.67,876.81,868.3,0.33%
11-23-16,872.83,865.23,877.36,863.6,0.78%
11-22-16,866.09,868.36,872.76,863.98,-0.41%
11-21-16,869.63,864.94,871.23,862.5,0.33%
11-18-16,866.74,872.94,877.5,862.54,-0.84%
11-17-16,874.04,874.81,882.05,869.95,-0.19%
11-16-16,875.68,881.51,883.92,873.21,-0.78%
11-15-16,882.55,881.77,886.33,877.84,-0.05%
11-14-16,883,875.55,888.1,875.09,0.31%
11-11-16,880.3,886.98,889.36,876.22,-0.87%
11-10-16,888.03,882.75,894.12,877.26,0.45%
11-09-16,884.05,875.39,889.47,872.21,0.89%
11-08-16,876.28,881.17,882.4,871.65,-0.67%
11-07-16,882.23,874.73,883.2,872.73,0.73%
11-04-16,875.84,878.07,881.62,873.52,-0.39%
11-03-16,879.3,876.11,879.95,870.22,0.24%
11-02-16,877.17,875.7,879.63,872.86,0.03%
11-01-16,876.87,868.74,879.22,866.85,0.83%
10-31-16,869.62,870.05,873.06,867.12,-0.27%
10-28-16,871.96,869.9,873.29,864.75,0.12%
10-27-16,870.95,870.26,873.49,867.35,-0.02%
10-26-16,871.14,863.3,874.84,862.19,0.80%
10-25-16,864.23,863.42,868.62,860.36,0.00%
10-24-16,864.24,862.16,865.83,861.11,-0.02%
10-21-16,864.38,861.61,870.47,860.32,0.19%
10-20-16,862.72,864.25,866.4,859.16,-0.28%
10-19-16,865.14,861.31,866.67,858.73,0.31%
10-18-16,862.47,865.86,870.89,860.82,-0.53%
10-17-16,867.03,863.93,870.06,862,0.12%
10-14-16,866,854.19,867.76,852.5,1.27%
10-13-16,855.12,850.13,859.42,845.91,0.48%
10-12-16,851,846.93,854.73,846.18,0.34%
10-11-16,848.13,842.46,851.39,840.27,0.58%
10-10-16,843.28,844.47,849.67,839.75,-0.25%
10-07-16,845.4,845.12,849.04,841.6,-0.07%
10-06-16,846,849.1,850.37,841.57,-0.45%
10-05-16,849.81,849.95,852.32,845.57,-0.14%
