date,close,open,high,low,diff
10-20-14,1351.87,1354.39,1357.8,1348.63,-0.39%
10-17-14,1357.12,1357.63,1366.67,1353.94,-0.15%
10-16-14,1359.18,1360.56,1364.76,1354.26,-0.21%
10-15-14,1362.06,1347.55,1364.04,1342.03,0.97%
10-14-14,1348.92,1359.21,1362.3,1344.58,-0.88%
10-13-14,1360.87,1355.97,1361.15,1350.11,0.33%
10-10-14,1356.37,1348.44,1366.17,1347.16,0.49%
10-09-14,1349.76,1367.93,1375.9,1345.57,-1.43%
10-08-14,1369.41,1354.72,1371.04,1349.77,1.05%
10-07-14,1355.2,1352.4,1356.59,1341.74,0.19%
10-06-14,1352.64,1327.12,1354.99,1326.59,1.82%
10-03-14,1328.49,1344.1,1345.36,1326.27,-1.20%
10-02-14,1344.57,1341.23,1347.75,1337.63,0.20%
10-01-14,1341.87,1331.9,1343.88,1331.16,0.69%
09-30-14,1332.61,1335.71,1341.63,1325.57,-0.27%
09-29-14,1336.24,1324.34,1339.5,1322.35,0.87%
09-26-14,1324.7,1330.21,1332.22,1323.4,-0.45%
09-25-14,1330.7,1328.72,1334.06,1323.79,0.12%
09-24-14,1329.14,1335.75,1339.07,1328.1,-0.53%
09-23-14,1336.28,1336.3,1344.22,1333.49,-0.10%
09-22-14,1337.68,1338.46,1341.72,1333.59,-0.14%
09-19-14,1339.61,1348.15,1354.13,1338.46,-0.70%
09-18-14,1349.1,1331.04,1349.93,1327.83,1.33%
09-17-14,1331.45,1342.38,1343.52,1329.59,-0.85%
09-16-14,1342.91,1342.99,1346.53,1336.31,-0.08%
09-15-14,1343.97,1342.78,1349.03,1340.26,0.13%
09-12-14,1342.27,1338.58,1344.92,1335.85,0.24%
09-11-14,1339.09,1335.77,1342,1332.54,0.22%
09-10-14,1336.13,1337.8,1341.09,1332.26,-0.19%
09-09-14,1338.67,1320.55,1340.69,1316.66,1.34%
09-08-14,1320.97,1325.58,1328.06,1319.01,-0.45%
09-05-14,1326.97,1318.5,1330.66,1316.16,0.59%
09-04-14,1319.22,1340.3,1341.73,1315.96,-1.65%
09-03-14,1341.34,1336.9,1342.58,1333.91,0.27%
09-02-14,1337.73,1329.6,1338.14,1328.62,0.59%
09-01-14,1329.93,1331.89,1333.94,1329,-0.14%
08-29-14,1331.77,1337.37,1340.56,1331.19,-0.48%
08-28-14,1338.21,1337.6,1341.86,1335.34,0.00%
08-27-14,1338.23,1338.1,1340.06,1333.43,-0.04%
08-26-14,1338.83,1345.02,1346.06,1337.69,-0.51%
08-25-14,1345.7,1345.2,1350.88,1341.53,-0.18%
08-22-14,1348.19,1359.18,1359.83,1345.43,-0.84%
08-21-14,1359.62,1355.87,1360.33,1354.31,0.24%
08-20-14,1356.35,1355.37,1361.47,1355.07,0.03%
08-19-14,1355.9,1359.38,1361.71,1354.66,-0.29%
08-18-14,1359.82,1367.26,1368.3,1358.26,-0.62%
08-15-14,1368.3,1364.5,1369.64,1363.68,0.26%
08-14-14,1364.78,1376.02,1378.55,1362.63,-0.88%
08-13-14,1376.88,1372.86,1380.86,1371.78,0.27%
08-12-14,1373.24,1378.39,1378.88,1369.37,-0.44%
08-11-14,1379.24,1388.78,1391.09,1377.77,-0.78%
08-08-14,1390.12,1385.31,1392.39,1380.98,0.31%
08-07-14,1385.8,1383.36,1389.72,1379.73,0.15%
08-06-14,1383.75,1374.82,1384.37,1373.89,0.61%
08-05-14,1375.32,1386.32,1387.03,1372.97,-0.84%
08-04-14,1386.96,1391.94,1393.31,1381.38,-0.49%
08-01-14,1393.75,1376.16,1395.44,1375.54,1.26%
07-31-14,1376.39,1371.62,1377.63,1371,0.26%
07-30-14,1372.86,1373.85,1378.04,1369.15,-0.13%
07-29-14,1374.59,1378.51,1379.25,1373.24,-0.34%
07-28-14,1379.34,1377.25,1380.11,1373.98,0.09%
07-25-14,1378.14,1385.41,1390.78,1376.32,-0.57%
07-24-14,1386.05,1378.1,1387.4,1377.18,0.50%
07-23-14,1379.09,1378.98,1380.16,1375.24,-0.04%
07-22-14,1379.67,1388.34,1389.44,1378.47,-0.67%
07-21-14,1388.93,1391.96,1393.07,1387.11,-0.25%
07-18-14,1392.35,1391.65,1399.34,1388.53,0.01%
07-17-14,1392.2,1395.54,1398.11,1387.19,-0.27%
07-16-14,1396.03,1392.99,1405.87,1392.79,0.16%
07-15-14,1393.85,1387.71,1400.92,1387.23,0.40%
07-14-14,1388.36,1385.26,1389.78,1383.94,0.11%
07-11-14,1386.82,1378.49,1388.7,1377.48,0.54%
07-10-14,1379.38,1380.54,1383.78,1376.24,-0.13%
07-09-14,1381.22,1376.48,1381.62,1376.18,0.27%
07-08-14,1377.5,1375.36,1378.28,1374.29,0.10%
07-07-14,1376.19,1371.46,1376.94,1369.43,0.28%
07-04-14,1372.39,1373.04,1374.89,1370.32,-0.09%
07-03-14,1373.69,1378.23,1380.32,1371.39,-0.40%
07-02-14,1379.16,1381.72,1383.48,1376.41,-0.27%
07-01-14,1382.83,1384.84,1387.05,1381.42,-0.20%
06-30-14,1385.63,1382.58,1386.38,1378.9,0.10%
06-27-14,1384.18,1383.08,1384.99,1378.9,0.02%
06-26-14,1383.88,1389.44,1390.44,1379.05,-0.45%
06-25-14,1390.19,1385.09,1392.44,1384.38,0.27%
06-24-14,1386.4,1384.79,1389.01,1382.72,0.01%
06-23-14,1386.3,1387.59,1389.71,1382.34,-0.18%
06-20-14,1388.8,1385.9,1391.37,1384.52,0.16%
06-19-14,1386.6,1389.75,1390.35,1381.76,-0.32%
06-18-14,1390.99,1384.06,1390.99,1383.45,0.48%
06-17-14,1384.4,1384.45,1388.62,1383.14,-0.06%
06-16-14,1385.28,1377.49,1385.89,1376.98,0.48%
06-13-14,1378.69,1378.95,1382.35,1375.96,-0.04%
06-12-14,1379.29,1374.21,1381.43,1373.9,0.34%
06-11-14,1374.68,1377.66,1378.03,1373.19,-0.25%
06-10-14,1378.15,1381.52,1383.75,1376.14,-0.29%
06-09-14,1382.17,1391.18,1392.44,1379.35,-0.67%
06-06-14,1391.47,1393.32,1395.14,1388.73,-0.18%
06-05-14,1394.01,1390.97,1395.88,1376.8,0.15%
06-04-14,1391.86,1394.04,1395.95,1390.67,-0.21%
06-03-14,1394.78,1392.23,1396.82,1389.75,0.13%
06-02-14,1392.97,1390.97,1397.49,1389.65,0.11%
05-30-14,1391.45,1387.88,1393.39,1384.45,0.20%
05-29-14,1388.62,1388.15,1391.08,1386.11,-0.05%
05-28-14,1389.34,1394.66,1396.8,1387.44,-0.49%
05-27-14,1396.17,1396.67,1400.54,1392.34,-0.11%
05-26-14,1397.76,1395.81,1398.68,1393.53,0.03%
05-23-14,1397.28,1398.27,1399.74,1394.35,-0.15%
05-22-14,1399.4,1405.04,1406.47,1397.45,-0.45%
05-21-14,1405.79,1404.46,1410.14,1399.8,0.04%
05-20-14,1405.24,1400.17,1409.65,1399.86,0.25%
05-19-14,1401.74,1402.19,1404.55,1399.6,-0.02%
05-16-14,1402.07,1404.9,1409.84,1401.16,-0.24%
05-15-14,1405.45,1409.11,1410.89,1398.54,-0.31%
05-14-14,1409.76,1400.58,1411.66,1399.42,0.61%
05-13-14,1401.28,1408.76,1410.07,1399.05,-0.58%
05-12-14,1409.51,1407.83,1412.3,1407.62,0.02%
05-09-14,1409.25,1414.66,1418.99,1407.21,-0.44%
05-08-14,1415.52,1422.16,1430.5,1413.94,-0.50%
05-07-14,1422.57,1433.78,1434.61,1421.95,-0.84%
05-06-14,1434.65,1428.33,1437.34,1427.71,0.37%
05-05-14,1429.4,1427.92,1431.05,1427.2,0.04%
05-02-14,1428.84,1432.22,1433.44,1422.08,-0.32%
05-01-14,1433.41,1431.91,1435.48,1431.39,0.01%
04-30-14,1433.2,1422.3,1434.38,1421.78,0.71%
04-29-14,1423.03,1433.13,1434.47,1421.58,-0.74%
04-28-14,1433.68,1439.95,1441.75,1430.02,-0.46%
04-25-14,1440.3,1437.63,1442.07,1433.83,0.14%
04-24-14,1438.24,1435.97,1438.96,1432.48,0.13%
04-23-14,1436.41,1432.1,1439.94,1431.89,0.25%
04-22-14,1432.82,1432.38,1437.58,1429.99,-0.02%
04-21-14,1433.05,1432.37,1437.12,1431.47,-0.07%
04-18-14,1433.99,1433.69,1435.82,1430.41,-0.05%
04-17-14,1434.68,1434.27,1441.26,1429.71,-0.02%
04-16-14,1434.93,1437,1443.74,1432.79,-0.24%
04-15-14,1438.45,1436.19,1442.87,1435.03,0.11%
04-14-14,1436.9,1432.58,1441.53,1431.96,-0.08%
04-11-14,1438,1444.01,1448.93,1435.27,-0.45%
04-10-14,1444.56,1442.55,1445.7,1429.35,0.10%
04-09-14,1443.05,1451.27,1452.09,1434.02,-0.60%
04-08-14,1451.83,1449.7,1453.62,1445.06,0.10%
04-07-14,1450.45,1443.25,1451.31,1439.83,0.40%
04-04-14,1444.71,1450.68,1452.68,1440.72,-0.47%
04-03-14,1451.58,1455.34,1460.63,1448.87,-0.31%
04-02-14,1456.12,1459.09,1460.4,1453.76,-0.27%
04-01-14,1460.04,1465.7,1467.51,1457.28,-0.44%
03-31-14,1466.47,1470.3,1472.14,1462.08,-0.35%
03-28-14,1471.57,1472.34,1474.68,1464.75,-0.09%
03-27-14,1472.84,1480.8,1483.64,1471.05,-0.61%
03-26-14,1481.81,1491.72,1492.83,1480.26,-0.72%
03-25-14,1492.62,1491.21,1494.88,1482.96,0.07%
03-24-14,1491.57,1488.88,1495.55,1482.81,0.13%
03-21-14,1489.7,1482.79,1493.11,1482.47,0.36%
03-20-14,1484.32,1480.3,1491.19,1478.16,0.22%
03-19-14,1481.07,1489.33,1493.52,1477.84,-0.62%
03-18-14,1490.24,1485.26,1491.05,1483.63,0.25%
03-17-14,1486.52,1491.85,1493.97,1481.03,-0.27%
03-14-14,1490.56,1482.28,1493.62,1479.71,0.44%
03-13-14,1483.99,1487.79,1493.72,1479.82,-0.31%
03-12-14,1488.58,1476.16,1489.76,1475.21,0.79%
03-11-14,1476.84,1479.8,1480.88,1473.16,-0.29%
03-10-14,1481.09,1476.47,1483.17,1475.51,0.19%
03-07-14,1478.22,1474.63,1478.43,1468.81,0.18%
03-06-14,1475.52,1470.38,1476.9,1459.81,0.30%
03-05-14,1471.16,1472.04,1473.02,1466.36,-0.09%
03-04-14,1472.55,1469.29,1478.76,1468.97,0.18%
03-03-14,1469.88,1470.94,1482.23,1467.42,-0.14%
02-28-14,1471.99,1465.07,1474.49,1456.93,0.37%
02-27-14,1466.59,1458.54,1468.51,1457.59,0.51%
02-26-14,1459.1,1474.62,1477.03,1455.77,-1.16%
02-25-14,1476.27,1475.03,1478.22,1467.58,0.03%
02-24-14,1475.82,1472.28,1481.84,1471.43,0.11%
02-21-14,1474.25,1470.46,1477.36,1467.99,0.23%
02-20-14,1470.9,1462.8,1476.85,1462.4,0.50%
02-19-14,1463.53,1465.01,1472.12,1461.84,-0.16%
02-18-14,1465.91,1453,1467.94,1451.18,0.84%
02-17-14,1453.66,1454.82,1458.57,1449.43,-0.17%
02-14-14,1456.2,1457.84,1459.11,1449.52,-0.17%
02-13-14,1458.74,1443.66,1460.74,1441.31,0.98%
02-12-14,1444.54,1460.25,1461.88,1440.37,-1.10%
02-11-14,1460.55,1463.15,1466.8,1459.29,-0.24%
02-10-14,1464,1463.97,1465.24,1457.39,-0.12%
02-07-14,1465.76,1465.87,1468.21,1455.07,-0.05%
02-06-14,1466.42,1458.07,1469.78,1452.63,0.51%
02-05-14,1459.02,1464.68,1465.62,1452.73,-0.44%
02-04-14,1465.51,1466.23,1474.3,1461.05,-0.11%
02-03-14,1467.12,1457.62,1468.48,1453.68,0.60%
01-31-14,1458.36,1463.94,1467.32,1456.11,-0.43%
01-30-14,1464.72,1461.45,1473.05,1457.09,0.19%
01-29-14,1462.01,1474.86,1475.85,1455.14,-0.93%
01-28-14,1475.69,1481.63,1482.68,1470.65,-0.41%
01-27-14,1481.77,1477.04,1488.89,1476.28,0.28%
01-24-14,1477.65,1469.5,1484.56,1468.54,0.51%
01-23-14,1470.22,1445.76,1470.66,1444.91,1.66%
01-22-14,1446.26,1443.99,1451.18,1443.57,0.11%
01-21-14,1444.7,1441.07,1445.78,1439.42,0.21%
01-20-14,1441.62,1436.43,1443.59,1434.52,0.27%
01-17-14,1437.78,1447.7,1449.47,1433.67,-0.75%
01-16-14,1448.7,1445.45,1452.02,1443.66,0.12%
01-15-14,1447.03,1448.36,1454.69,1443.49,-0.15%
01-14-14,1449.2,1444.13,1451.36,1443.53,0.28%
01-13-14,1445.13,1450.61,1452.78,1440.92,-0.43%
01-10-14,1451.39,1445.64,1453.51,1440.91,0.34%
01-09-14,1446.43,1446.24,1452.36,1439.9,-0.02%
01-08-14,1446.74,1454.76,1457.33,1443.9,-0.65%
01-07-14,1456.23,1451.18,1460.55,1448.79,0.29%
01-06-14,1452.01,1433.53,1454.67,1433.11,1.24%
01-03-14,1434.26,1435.76,1444.32,1432.32,-0.14%
01-02-14,1436.31,1451.39,1453.95,1431.35,-1.08%
01-01-14,1452.05,1450.44,1453.62,1449.91,0.06%
12-31-13,1451.2,1456.46,1458.27,1450.02,-0.42%
